Connect MD5 differential paths
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[2] = [!8!]
Loading upper_1_640000/paths16_0of1.bin.gz...Loading data/paths11_0of1.bin.gz...done: 640000. (3.85518s)
done: 640000. (10.4015s)
t=12: 0%   10   20   30   40   50   60   70   80   90   100%
      |----|----|----|----|----|----|----|----|----|----|
      *********************************Q-3:	|01100111 01000101 00100011 00000001|
Q-2:	|00010000 00110010 01010100 01110110|
Q-1:	|10011000 10111010 11011100 11111110|
Q0:	|11101111 11001101 10101011 10001001| ok p=1
Q1:	|10100101 01100001 11101001 00000111| ok p=1
Q2:	|00100110 11110110 00111011 10101100| ok p=1
Q3:	|00000+-0 01011101 11010001 00010001| ok p=1
Q4:	|101010+0 010001-+ +1010111 01000010| ok p=1
Q5:	|00100+10 1--+++++ +0001101 1101100-| ok p=1
Q6:	|-0100+01 0-110110 0---1010 00+001--| ok p=1
Q7:	|11++--11 0-0000+- -0+11010 0110++00| ok p=1
Q8:	|0+0-1--+ -1+111+0 101+100- ++10+101| ok p=1
Q9:	|-++10--1 101+01+0 1+00--00 ++-1+0--| ok p=1
Q10:	|11-01+0+ 00+10.-- .-.1--1- .+-1+110| ok p=1
Q11:	|01+0110- .-000.10 ^+0+1001 001+10--| ok p=1
Q12:	|0-+++0+0 ^0+0+^++ ++110-01 000+0+-1| ok p=1
Q13:	|-10+---0 ++0+-+-1 0+-1+--- -------1| ok p=1
Q14:	|+00.111- 0+101101 0.0.1.-1 1100001.| ok p=1
Q15:	|-.+00101 00.010-. .01.01.1 111010-.| ok p=0.332031
Q16:	|0.+....- .1....-. ......^. ......-.| ok p=0.671875
Q17:	|-.0..... ......+. ...0.... ......+.| ok p=0.262695
Q18:	|0.1....^ ......-. ...1.... .0....0.| ok p=0.435547
Q19:	|+....... ......-. ...+.... .1....1.| ok p=0.889648
Q20:	|-....... ......1. ........ .-......| ok p=1
Q21:	|+....0.. ......0. ...^.... ........| ok p=1
Q22:	|+....1.. ........ ........ .^......| ok p=0.467773
Q23:	|1....+.. ........ ........ ........| ok p=1
Q24:	|0....... ........ .......0 ........| ok p=1
Q25:	|.....^.. ........ .......1 ........| ok p=0.482422
Q26:	|........ ........ .......- ........| ok p=0.979492
Q27:	|........ ........ ........ ........| ok p=1
Q28:	|........ ........ .......^ ........| ok p=1
Q29:	|........ ........ ........ ........| ok p=1
Q30:	|........ ........ ........ ........| ok p=1
Q31:	|........ ........ ........ ........| ok p=1
Q32:	|........ ........ ........ ........| ok p=1
Q33:	|........ ........ ........ ........| ok p=1
Q34:	|........ ........ ........ ........| ok p=1
Q35:	|........ ........ ........ ........| ok p=1
Q36:	|........ ........ ........ ........| ok p=1
Q37:	|........ ........ ........ ........| ok p=1
Q38:	|........ ........ ........ ........| ok p=1
Q39:	|........ ........ ........ ........| ok p=1
Q40:	|........ ........ ........ ........| ok p=1
Q41:	|........ ........ ........ ........| ok p=1
Q42:	|........ ........ ........ ........| ok p=1
Q43:	|........ ........ ........ ........| ok p=1
Q44:	|........ ........ ........ ........| ok p=1
Q45:	|........ ........ ........ ........| ok p=1
Q46:	|0....... ........ ........ ........| ok p=1
Q47:	|1....... ........ ........ ........| ok p=0.504883
Q48:	|+....... ........ ........ ........| ok p=1
Q49:	|-....... ........ ........ ........| ok p=1
Q50:	|-....... ........ ........ ........| ok p=1
Q51:	|-....... ........ ........ ........| ok p=1
Q52:	|-....... ........ ........ ........| ok p=1
Q53:	|-....... ........ ........ ........| ok p=1
Q54:	|-....... ........ ........ ........| ok p=1
Q55:	|-....... ........ ........ ........| ok p=1
Q56:	|-....... ........ ........ ........| ok p=1
Q57:	|-....... ........ ........ ........| ok p=1
Q58:	|-....... ........ ........ ........| ok p=1
Q59:	|-....... ........ ........ ........| ok p=1
Q60:	|-....... ........ ........ ........| ok p=1
Q61:	|-....... 0....... ........ ........| ok p=1
Q62:	|-....... ........ ........ ........| ok p=0.992188
Q63:	|-....... +....... ........ ........| ok p=1
Q64:	|+....... +....... ........ ........|
Best path: totcompl=-47 tottunnel=3, totcond=654, p=0.00302349
Best paths: 2
Best paths: 4
Best paths: 8
Best paths: 16
Best paths: 32
Best paths: 64
**
